atlasId,atlasName,cohortId,name
1772699,New users of copper IUD,1772699,NewUserCuIUD
1772698,New users of LNG IUD,1772698,NewUserLNGIUS
1771054,Alt High Grade Cervical Neoplasm,1771054,Alt_High_Grade_Cervical_Neoplasm
1772814,New users of Cu-IUD High Grade CIN,1772814,NewUserCu-IUDHighGradeCIN
1772815,New users of LNG-IUS High Grade CIN,1772815,NewUserLNG-IUSHighGradeCIN
1772816,New users of Cu Primary Invasive Cervical Cancer,1772816,NewUserCuIUDPrimaryInvasiveCervicalCancer
1772817,New users of LNG-IUS Primary Invasive Cervical Cancer,1772817,NewUserLNG-IUSPrimaryInvasiveCervicalCancer
1772818,New users of Cu Preventive Health,1772818,NewUserCuPreventiveHealth
1772819,New users of LNG Preventive Health,1772819,NewUserLNGPreventiveHealth
1772820,New users of Cu Cervical Cancer Screen,1772816,NewUserCuCervicalCancerScreen
1772821,New users of LNG Cervical Cancer Screen,1772821,NewUserLNGCervicalCancerScreen
1772822,New users of LNG Mirena Liletta,1772822,NewUserLNGMirenaLiletta
1772823,LNG Skyla Kyleena,1772823,NewUserLNGSkylaKyleena
